title,popularity_fixed,genero1,genero2,genero3,cluster,genres
Blue Chips,0.0,Drama,,,0,Drama
Blue Sky,0.0,Drama,Romance,,0,Drama Romance
Body Snatchers,13.0,Horror,Science,Fiction,0,Horror Science Fiction
Boxing Helena,0.0,Drama,Romance,,-1,Drama Romance
A Bronx Tale,22.0,Drama,Crime,,14,Drama Crime
Cabin Boy,0.0,Comedy,,,0,Comedy
Calendar Girl,13.0,Drama,Comedy,,0,Drama Comedy
Carlito's Way,30.0,Action,Crime,Drama,0,Action Crime Drama
City Slickers II: The Legend of Curly's Gold,0.0,Action,Comedy,Drama,0,Action Comedy Drama
Clean Slate,0.0,Comedy,Thriller,Mystery,-1,Comedy Thriller Mystery
Cliffhanger,70.0,Action,Adventure,Thriller,-1,Action Adventure Thriller
Coneheads,0.0,Comedy,Science,Fiction,-1,Comedy Science Fiction
Color of Night,40.0,Drama,Mystery,Romance,0,Drama Mystery Romance
Cops & Robbersons,0.0,Action,Comedy,Family,-1,Action Comedy Family
The Cowboy Way,0.0,Western,Action,Comedy,0,Western Action Comedy
Dangerous Game,0.0,Drama,,,0,Drama
Dave,0.0,Comedy,,,-1,Comedy
Dazed and Confused,6.9,Comedy,Drama,,-1,Comedy Drama
Demolition Man,57.0,Crime,Action,Science,0,Crime Action Science
The Endless Summer 2,0.0,Documentary,,,0,Documentary
Even Cowgirls Get the Blues,8.0,Western,Drama,Comedy,0,Western Drama Comedy
Fatal Instinct,0.0,Comedy,,,47,Comedy
Farewell My Concubine,0.0,Drama,,,0,Drama
The Favor,0.0,Drama,Comedy,Romance,-1,Drama Comedy Romance
Fearless,0.0,Drama,,,-1,Drama
Fear of a Black Hat,0.0,Comedy,,,0,Comedy
With Honors,0.0,Comedy,Drama,,-1,Comedy Drama
Flesh and Bone,0.0,Drama,Mystery,Romance,0,Drama Mystery Romance
Widows' Peak,0.0,Comedy,Thriller,Mystery,48,Comedy Thriller Mystery
For Love or Money,30.0,Comedy,Romance,,0,Comedy Romance
The Firm,42.0,Drama,Mystery,Thriller,-1,Drama Mystery Thriller
Free Willy,20.0,Family,Adventure,,0,Family Adventure
Fresh,0.0,Crime,Drama,Thriller,-1,Crime Drama Thriller
The Fugitive,44.0,Adventure,Action,Thriller,-1,Adventure Action Thriller
Geronimo: An American Legend,35.0,History,Action,Drama,0,History Action Drama
The Getaway,0.0,Drama,Action,Thriller,-1,Drama Action Thriller
Getting Even with Dad,30.0,Family,Comedy,Crime,-1,Family Comedy Crime
Go Fish,0.0,Drama,Romance,,0,Drama Romance
A Good Man in Africa,0.0,Comedy,Drama,,0,Comedy Drama
Guilty as Sin,0.0,Drama,Thriller,,-1,Drama Thriller
Hard Target,18.0,Action,Adventure,Crime,0,Action Adventure Crime
Heaven & Earth,33.0,History,War,Action,0,History War Action
Hot Shots! Part Deux,25.0,Action,Comedy,War,-1,Action Comedy War
Live Nude Girls,0.0,Comedy,,,0,Comedy
The Englishman Who Went Up a Hill But Came Down a Mountain,0.0,Drama,Comedy,Romance,0,Drama Comedy Romance
The House of the Spirits,25.0,Romance,Drama,,0,Romance Drama
House Party 3,0.0,Comedy,,,0,Comedy
The Hudsucker Proxy,30.0,Comedy,Drama,,-1,Comedy Drama
I'll Do Anything,40.0,Comedy,Drama,,0,Comedy Drama
In the Army Now,0.0,Comedy,,,49,Comedy
In the Line of Fire,40.0,Action,Drama,Thriller,0,Action Drama Thriller
In the Name of the Father,13.0,Drama,,,0,Drama
The Inkwell,0.0,Comedy,Drama,Romance,-1,Comedy Drama Romance
What's Love Got to Do with It,0.0,Drama,Music,,0,Drama Music
Jimmy Hollywood,30.0,Comedy,,,0,Comedy
Judgment Night,0.0,Action,Thriller,Crime,0,Action Thriller Crime
Jurassic Park,63.0,Adventure,Science,Fiction,0,Adventure Science Fiction
Kalifornia,9.0,Thriller,Crime,,-1,Thriller Crime
Killing Zoe,1.5,Action,Crime,Drama,50,Action Crime Drama
King of the Hill,0.0,Drama,,,0,Drama
Lassie,0.0,Action,Adventure,Drama,-1,Action Adventure Drama
Last Action Hero,85.0,Adventure,Fantasy,Action,0,Adventure Fantasy Action
Life With Mikey,0.0,Comedy,Family,,0,Comedy Family
Lightning Jack,0.0,Action,Comedy,Western,51,Action Comedy Western
M. Butterfly,0.0,Drama,Romance,,0,Drama Romance
Made in America,22.0,Comedy,,,0,Comedy
Malice,0.0,Drama,Crime,,-1,Drama Crime
The Man without a Face,0.0,Drama,,,0,Drama
Manhattan Murder Mystery,13.5,Comedy,Mystery,,0,Comedy Mystery
Menace II Society,3.5,Drama,Action,Crime,0,Drama Action Crime
Executive Decision,55.0,Action,Adventure,Drama,0,Action Adventure Drama
In the Realm of the Senses,0.0,Drama,Romance,,-1,Drama Romance
What Happened Was...,0.0,Thriller,Comedy,Drama,0,Thriller Comedy Drama
Much Ado About Nothing,8.0,Drama,Comedy,Romance,-1,Drama Comedy Romance
Mr. Jones,0.0,Drama,Romance,,0,Drama Romance
Mr. Wonderful,0.0,Comedy,Romance,,0,Comedy Romance
Mrs. Doubtfire,25.0,Comedy,Drama,Family,0,Comedy Drama Family
Naked,0.0,Comedy,Drama,,0,Comedy Drama
The Next Karate Kid,12.0,Adventure,,,0,Adventure
The New Age,0.0,Comedy,Drama,,0,Comedy Drama
No Escape,20.0,Action,Drama,Science,0,Action Drama Science
North,40.0,Comedy,Drama,Family,0,Comedy Drama Family
Orlando,4.0,Romance,Drama,Fantasy,-1,Romance Drama Fantasy
A Perfect World,30.0,Crime,Drama,Thriller,0,Crime Drama Thriller
Philadelphia,26.0,Drama,,,0,Drama
The Piano,7.0,Drama,Romance,,-1,Drama Romance
Poetic Justice,14.0,Drama,Romance,,-1,Drama Romance
The Program,0.0,Drama,,,-1,Drama
The Puppet Masters,0.0,Horror,Science,Fiction,-1,Horror Science Fiction
Radioland Murders,0.0,Comedy,Crime,Drama,-1,Comedy Crime Drama
The Ref,11.0,Comedy,,,-1,Comedy
The Remains of the Day,11.5,Drama,Romance,,0,Drama Romance
Renaissance Man,40.0,Comedy,War,,0,Comedy War
Rising Sun,0.0,Action,Drama,Thriller,0,Action Drama Thriller
The Road to Wellville,0.0,Comedy,Romance,,0,Comedy Romance
RoboCop 3,22.0,Action,Adventure,Crime,52,Action Adventure Crime
Robin Hood: Men in Tights,20.0,Comedy,,,0,Comedy
Romeo Is Bleeding,11.5,Action,Crime,Drama,53,Action Crime Drama
Romper Stomper,0.0,Action,Drama,Thriller,-1,Action Drama Thriller
Ruby in Paradise,0.8,Drama,Romance,,0,Drama Romance
Rudy,12.0,Drama,,,-1,Drama
The Saint of Fort Washington,0.0,Drama,,,54,Drama
Savage Nights,0.0,Drama,,,55,Drama
Schindler's List,22.0,Drama,History,War,-1,Drama History War
The Scout,0.0,Comedy,Drama,,-1,Comedy Drama
Searching for Bobby Fischer,0.0,Drama,,,-1,Drama
Second Best,0.0,Drama,,,0,Drama
The Secret Garden,0.0,Drama,Family,Fantasy,0,Drama Family Fantasy
Serial Mom,13.0,Comedy,Crime,Horror,0,Comedy Crime Horror
The Shadow,25.0,Adventure,Fantasy,Action,0,Adventure Fantasy Action
Shadowlands,22.0,Drama,Romance,,-1,Drama Romance
Short Cuts,0.0,Comedy,Drama,,56,Comedy Drama
A Simple Twist of Fate,0.0,Drama,Family,,0,Drama Family
Sirens,0.0,Comedy,Drama,,-1,Comedy Drama
Six Degrees of Separation,0.0,Mystery,Drama,Comedy,-1,Mystery Drama Comedy
Sleepless in Seattle,21.0,Comedy,Drama,Romance,-1,Comedy Drama Romance
Sliver,40.0,Drama,Thriller,,-1,Drama Thriller
Blade Runner,28.0,Science,Fiction,Drama,57,Science Fiction Drama
Son in Law,0.0,Comedy,Drama,Romance,0,Comedy Drama Romance
So I Married an Axe Murderer,20.0,Comedy,Crime,Romance,0,Comedy Crime Romance
Striking Distance,3e-05,Crime,Action,Mystery,-1,Crime Action Mystery
Harem,0.0,History,Drama,Romance,-1,History Drama Romance
Super Mario Bros.,48.0,Adventure,Comedy,Family,-1,Adventure Comedy Family
Surviving the Game,7.4,Action,Adventure,Thriller,0,Action Adventure Thriller
Terminal Velocity,50.0,Action,Thriller,,58,Action Thriller
Thirty Two Short Films About Glenn Gould,0.0,Drama,Music,,56,Drama Music
Threesome,0.0,Comedy,Drama,Family,-1,Comedy Drama Family
The Nightmare Before Christmas,18.0,Fantasy,Animation,Family,0,Fantasy Animation Family
The Three Musketeers,30.0,Action,Adventure,Comedy,-1,Action Adventure Comedy
Tombstone,25.0,Action,Adventure,Drama,-1,Action Adventure Drama
Trial by Jury,0.0,Drama,Action,Thriller,24,Drama Action Thriller
True Romance,12.5,Action,Thriller,Crime,0,Action Thriller Crime
The War Room,0.0,Documentary,History,,0,Documentary History
The Pagemaster,27.0,Fantasy,Science,Fiction,-1,Fantasy Science Fiction
"Paris, France",0.0,Drama,Comedy,,0,Drama Comedy
"The Beans of Egypt, Maine",0.0,,,,59,
Killer,0.0,Thriller,Drama,Romance,0,Thriller Drama Romance
Welcome to the Dollhouse,0.0,Comedy,Drama,,0,Comedy Drama
Germinal,0.0,Drama,Romance,,-1,Drama Romance
Chasers,0.0,Comedy,Romance,,-1,Comedy Romance
Cronos,0.0,Drama,Horror,Thriller,-1,Drama Horror Thriller
Naked in New York,0.0,Comedy,Romance,,0,Comedy Romance
Kika,0.0,Comedy,Drama,,-1,Comedy Drama
Bhaji on the Beach,0.0,Comedy,Drama,,0,Comedy Drama
Little Big League,0.0,Comedy,Family,,0,Comedy Family
The Slingshot,0.0,Drama,,,-1,Drama
Wide Eyed and Legless,0.0,TV,Movie,Drama,0,TV Movie Drama
Foreign Student,0.0,Drama,Romance,,60,Drama Romance
"Ciao, Professore!",0.0,Comedy,Foreign,,-1,Comedy Foreign
Spanking the Monkey,0.2,Comedy,Drama,,61,Comedy Drama
The Little Rascals,0.0,Romance,Comedy,Family,0,Romance Comedy Family
À la mode,0.0,Comedy,,,15,Comedy
Andre,0.0,Drama,Family,Adventure,-1,Drama Family Adventure
The Escort,0.0,Thriller,Crime,Drama,-1,Thriller Crime Drama
Princess Caraboo,0.0,Comedy,Drama,History,0,Comedy Drama History
The Celluloid Closet,0.0,History,Documentary,,-1,History Documentary
Café au Lait,0.0,Drama,Comedy,Romance,-1,Drama Comedy Romance
Dear Diary,0.0,Comedy,Drama,,0,Comedy Drama
I Don't Want to Talk About It,0.0,Romance,Drama,,0,Romance Drama
The Brady Bunch Movie,0.0,Comedy,,,0,Comedy
Home Alone,18.0,Comedy,Family,,0,Comedy Family
Ghost,22.0,Fantasy,Drama,Thriller,0,Fantasy Drama Thriller
Aladdin,28.0,Animation,Family,Comedy,0,Animation Family Comedy
Terminator 2: Judgment Day,100.0,Action,Thriller,Science,0,Action Thriller Science
Dances with Wolves,22.0,Adventure,Drama,Western,-1,Adventure Drama Western
Tough and Deadly,0.0,Thriller,Action,Drama,0,Thriller Action Drama
Batman,35.0,Fantasy,Action,,0,Fantasy Action
The Silence of the Lambs,19.0,Crime,Drama,Thriller,62,Crime Drama Thriller
Snow White and the Seven Dwarfs,1.488423,Fantasy,Animation,Family,0,Fantasy Animation Family
Beauty and the Beast,25.0,Romance,Family,Animation,0,Romance Family Animation
Pinocchio,2.6,Animation,Family,,0,Animation Family
Pretty Woman,14.0,Romance,Comedy,,0,Romance Comedy
Window to Paris,0.0,Comedy,Drama,Fantasy,0,Comedy Drama Fantasy
The Wild Bunch,6.244087,Adventure,Western,,0,Adventure Western
Love and a .45,0.0,Crime,Thriller,,0,Crime Thriller
The Wooden Man's Bride,0.0,Drama,Foreign,Romance,0,Drama Foreign Romance
A Great Day in Harlem,0.0,,,,0,
Bye Bye Love,0.0,Comedy,Romance,,0,Comedy Romance
One Fine Day,0.0,Comedy,Romance,,0,Comedy Romance
Candyman: Farewell to the Flesh,0.0,Horror,,,0,Horror
Century,0.0,Romance,Drama,,0,Romance Drama
Fargo,7.0,Crime,Drama,Thriller,-1,Crime Drama Thriller
Homeward Bound II: Lost in San Francisco,0.0,Adventure,Comedy,Drama,0,Adventure Comedy Drama
Heavy Metal,9.3,Animation,Science,Fiction,63,Animation Science Fiction
Hellraiser: Bloodline,4.0,Horror,Thriller,Science,-1,Horror Thriller Science
The Pallbearer,8.0,Comedy,Romance,,-1,Comedy Romance
Jane Eyre,0.0,Drama,Romance,,64,Drama Romance
Loaded,0.5,Drama,Mystery,Thriller,-1,Drama Mystery Thriller
Bread and Chocolate,0.0,Comedy,Foreign,,0,Comedy Foreign
The Aristocats,4.0,Animation,Comedy,Family,-1,Animation Comedy Family
The Flower of My Secret,0.0,Drama,Romance,,0,Drama Romance
Two Much,0.0,Comedy,Romance,,-1,Comedy Romance
Ed,0.0,Comedy,Family,,0,Comedy Family
Scream of Stone,0.0,Adventure,Drama,Documentary,65,Adventure Drama Documentary
My Favorite Season,0.0,Drama,,,0,Drama
A Modern Affair,0.0,,,,0,
Condition Red,0.0,Thriller,Action,Drama,0,Thriller Action Drama
Halfaouine: Boy of the Terraces,0.0,Comedy,Drama,,0,Comedy Drama
A Thin Line Between Love and Hate,0.0,Comedy,Thriller,Crime,0,Comedy Thriller Crime
The Last Supper,0.0,Comedy,Thriller,Crime,-1,Comedy Thriller Crime
Primal Fear,30.0,Crime,Drama,Mystery,0,Crime Drama Mystery
Rude,0.0,,,,-1,
Carried Away,0.0,Drama,Romance,,0,Drama Romance
All Dogs Go to Heaven 2,0.0,Romance,Animation,Family,0,Romance Animation Family
Land and Freedom,0.0,Drama,History,War,0,Drama History War
Denise Calls Up,0.0,Comedy,,,0,Comedy
Theodore Rex,33.5,Fantasy,Science,Fiction,66,Fantasy Science Fiction
A Family Thing,0.0,Comedy,Drama,,0,Comedy Drama
Frisk,0.0,Drama,Thriller,,-1,Drama Thriller
Sgt. Bilko,0.0,Comedy,Family,,-1,Comedy Family
Jack & Sarah,0.0,Comedy,Drama,Romance,51,Comedy Drama Romance
Girl 6,12.0,Comedy,,,0,Comedy
Diabolique,0.0,Drama,Horror,Mystery,-1,Drama Horror Mystery
"Little Indian, Big City",0.0,Adventure,Drama,Comedy,0,Adventure Drama Comedy
Roula,0.0,Romance,Drama,,-1,Romance Drama
Peanuts – Die Bank zahlt alles,0.0,Comedy,,,0,Comedy
Happy Weekend,0.0,Comedy,,,0,Comedy
Nelly and Monsieur Arnaud,0.0,Drama,Romance,,-1,Drama Romance
Courage Under Fire,46.0,Drama,Thriller,Mystery,0,Drama Thriller Mystery
Mission: Impossible,80.0,Adventure,Action,Thriller,67,Adventure Action Thriller
Cold Fever,0.0,Drama,Comedy,,0,Drama Comedy
Moll Flanders,0.0,Drama,Romance,,0,Drama Romance
The Superwife,0.0,Comedy,,,-1,Comedy
"301, 302",0.0,Horror,Mystery,Thriller,-1,Horror Mystery Thriller
DragonHeart,57.0,Fantasy,,,-1,Fantasy
Und keiner weint mir nach,0.0,Drama,,,-1,Drama
My Mother's Courage,0.0,Drama,,,0,Drama
Eddie,0.0,Action,Comedy,,-1,Action Comedy
Yankee Zulu,0.0,Drama,Comedy,,-1,Drama Comedy
Billy's Holiday,0.0,,,,17,
Purple Noon,0.0,Crime,Drama,Thriller,0,Crime Drama Thriller
August,0.0,Romance,Comedy,Drama,0,Romance Comedy Drama
James and the Giant Peach,38.0,Adventure,Animation,Family,0,Adventure Animation Family
Fear,0.0,Drama,Thriller,Romance,0,Drama Thriller Romance
Kids in the Hall: Brain Candy,0.0,Comedy,,,0,Comedy
Faithful,13.0,Comedy,Crime,Drama,-1,Comedy Crime Drama
Underground,14.0,War,Drama,Comedy,-1,War Drama Comedy
All Things Fair,0.0,War,Drama,Romance,0,War Drama Romance
Bloodsport II,0.0,Action,Thriller,,0,Action Thriller
Pather Panchali,0.0,Drama,,,-1,Drama
The World of Apu,0.0,Drama,,,0,Drama
Mystery Science Theater 3000: The Movie,0.0,Comedy,Science,Fiction,0,Comedy Science Fiction
Tarantella,0.0,,,,-1,
Space Jam,80.0,Animation,Comedy,Drama,0,Animation Comedy Drama
Barbarella,9.0,Science,Fiction,,-1,Science Fiction
Hostile Intentions,0.0,Thriller,Action,Drama,68,Thriller Action Drama
They Bite,0.0,Comedy,Horror,Science,-1,Comedy Horror Science
Some Folks Call It a Sling Blade,0.0,Drama,Thriller,,57,Drama Thriller
The Run of the Country,0.0,Drama,Romance,,0,Drama Romance
Alphaville,0.22,Drama,Science,Fiction,-1,Drama Science Fiction
Coup de Torchon,0.0,Drama,,,-1,Drama
Tigrero: A Film That Was Never Made,0.0,Documentary,Foreign,,-1,Documentary Foreign
The Eye of Vichy,0.0,,,,0,
Windows,0.0,Horror,Drama,Thriller,-1,Horror Drama Thriller
It's My Party,0.0,Drama,,,0,Drama
Country Life,0.0,Drama,Romance,,0,Drama Romance
Operation Dumbo Drop,0.0,Action,Adventure,Comedy,0,Action Adventure Comedy
The Promise,0.0,Drama,Romance,,69,Drama Romance
Mrs. Winterbourne,25.0,Comedy,Romance,Drama,0,Comedy Romance Drama
Solo,0.0,Action,Adventure,Science,-1,Action Adventure Science
Under The Domim Tree,0.0,Drama,Foreign,,-1,Drama Foreign
The Substitute,0.0,Action,Thriller,,-1,Action Thriller
True Crime,0.0,Crime,Mystery,Thriller,0,Crime Mystery Thriller
Butterfly Kiss,0.0,Crime,Drama,Romance,0,Crime Drama Romance
Feeling Minnesota,0.0,Action,Comedy,Drama,0,Action Comedy Drama
Delta of Venus,0.0,Drama,Romance,,70,Drama Romance
To Cross the Rubicon,0.0,,,,-1,
Angus,0.0,Comedy,Drama,Family,-1,Comedy Drama Family
Priest Daens,0.0,Drama,History,,37,Drama History
Faces,0.275,Drama,,,0,Drama
Boys,0.0,Romance,Drama,Mystery,0,Romance Drama Mystery
The Quest,30.0,Action,Adventure,,0,Action Adventure
Cosi,0.0,Comedy,Romance,,-1,Comedy Romance
Sunset Park,0.0,Drama,,,0,Drama
Mulholland Falls,0.0,Drama,Mystery,Thriller,0,Drama Mystery Thriller
The Truth About Cats & Dogs,0.0,Comedy,Romance,,0,Comedy Romance
Oliver & Company,31.0,Animation,Comedy,Family,0,Animation Comedy Family
Celtic Pride,0.0,Comedy,,,-1,Comedy
Flipper,25.53,Adventure,Family,,-1,Adventure Family
Captives,0.0,Drama,Thriller,Mystery,-1,Drama Thriller Mystery
Of Love and Shadows,0.0,Drama,,,0,Drama
Dead Man,9.0,Drama,Fantasy,Western,0,Drama Fantasy Western
The Horseman on the Roof,35.0,War,Adventure,Drama,-1,War Adventure Drama
Switchblade Sisters,0.0,Action,Crime,Drama,-1,Action Crime Drama
Mouth to Mouth,0.0,Comedy,Foreign,,46,Comedy Foreign
The Visitors,0.0,Fantasy,Comedy,Science,-1,Fantasy Comedy Science
Multiplicity,45.0,Comedy,Fantasy,Science,-1,Comedy Fantasy Science
"The Haunted World of Edward D. Wood, Jr.",0.0,Documentary,,,0,Documentary
Two Friends,0.0,Drama,Foreign,,0,Drama Foreign
The Craft,15.0,Drama,Fantasy,Horror,-1,Drama Fantasy Horror
The Great White Hype,0.0,Comedy,Drama,,0,Comedy Drama
Last Dance,0.0,Drama,Thriller,,0,Drama Thriller
Cold Comfort Farm,0.0,Comedy,Drama,Romance,0,Comedy Drama Romance
"Institute Benjamenta, or This Dream People Call Human Life",0.0,Animation,Drama,,0,Animation Drama
Heaven's Prisoners,25.0,Drama,Mystery,Thriller,0,Drama Mystery Thriller
Original Gangstas,4.8,Action,Drama,Crime,-1,Action Drama Crime
The Rock,75.0,Action,Adventure,Thriller,0,Action Adventure Thriller
Getting Away with Murder,0.0,Comedy,,,0,Comedy
Cemetery Man,4.0,Fantasy,Drama,Horror,0,Fantasy Drama Horror
Twister,92.0,Action,Adventure,Drama,-1,Action Adventure Drama
Barb Wire,0.0,Action,Science,Fiction,-1,Action Science Fiction
Le Garçu,0.0,Drama,,,71,Drama
Honeymoon,0.0,Comedy,,,72,Comedy
Ghost in the Shell,0.0,Action,Animation,Science,0,Action Animation Science
Thinner,0.0,Horror,Thriller,,-1,Horror Thriller
Spy Hard,18.0,Action,Comedy,,0,Action Comedy
Brothers in Trouble,0.0,Comedy,Drama,,0,Comedy Drama
A Close Shave,0.0,Family,Animation,Comedy,22,Family Animation Comedy
Force of Evil,0.0,Drama,Action,Crime,0,Drama Action Crime
The Stupids,0.0,Comedy,Family,,-1,Comedy Family
The Arrival,25.0,Action,Mystery,Science,-1,Action Mystery Science
The Man from Down Under,0.0,Drama,War,,0,Drama War
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1.8,Drama,Comedy,War,0,Drama Comedy War
Careful,0.0,Horror,Comedy,Drama,-1,Horror Comedy Drama
A Month by the Lake,0.0,Comedy,Drama,Romance,73,Comedy Drama Romance
Gold Diggers: The Secret of Bear Mountain,0.0,Drama,,,0,Drama
Kim,0.0,Family,Adventure,,-1,Family Adventure
Carmen Miranda: Bananas Is My Business,0.0,Documentary,,,74,Documentary
Ashes of Time,0.0,Drama,Action,,0,Drama Action
The Jar,0.0,,,,-1,
Maya Lin: A Strong Clear Vision,0.0,Documentary,,,-1,Documentary
Stalingrad,0.0,Drama,History,War,-1,Drama History War
The Phantom,45.0,Adventure,Action,,0,Adventure Action
Striptease,50.0,Drama,Thriller,Crime,-1,Drama Thriller Crime
The Last of the High Kings,0.0,Drama,Comedy,,0,Drama Comedy
Heavy,0.0,Drama,Romance,,63,Drama Romance
Jack,45.0,Comedy,Drama,Science,51,Comedy Drama Science
I Shot Andy Warhol,0.0,Drama,,,-1,Drama
The Grass Harp,0.0,Comedy,Drama,Family,-1,Comedy Drama Family
Someone Else's America,0.0,Drama,,,0,Drama
Life is Rosy,0.0,Music,Romance,,0,Music Romance
Quartier Mozart,0.0,,,,75,
Touki Bouki,0.0,Drama,Romance,,-1,Drama Romance
God's Gift,0.0,Drama,,,0,Drama
Spirits of the Dead,0.0,Drama,Mystery,Horror,0,Drama Mystery Horror
Babyfever,0.0,,,,-1,
Pharaoh's  Army,5e-05,Western,Drama,War,49,Western Drama War
Trainspotting,4.0,Drama,Crime,,-1,Drama Crime
Til There Was You,1.0,Comedy,Romance,,-1,Comedy Romance
Independence Day,75.0,Action,Adventure,Science,0,Action Adventure Science
Stealing Beauty,0.0,Drama,Romance,,0,Drama Romance
The Fan,55.0,Drama,Mystery,Thriller,-1,Drama Mystery Thriller
The Hunchback of Notre Dame,100.0,Drama,Animation,Family,-1,Drama Animation Family
The Cable Guy,47.0,Comedy,Drama,Thriller,0,Comedy Drama Thriller
Kingpin,27.0,Comedy,,,-1,Comedy
Eraser,100.0,Action,Drama,Mystery,-1,Action Drama Mystery
The Gate of Heavenly Peace,0.0,Documentary,,,0,Documentary
The Nutty Professor,54.0,Fantasy,Comedy,Romance,76,Fantasy Comedy Romance
"I, the Worst of All",0.0,Drama,Foreign,,-1,Drama Foreign
An Unforgettable Summer,0.0,Drama,Romance,War,0,Drama Romance War
A Hungarian Fairy Tale,0.0,,,,14,
My Life and Times With Antonin Artaud,0.0,,,,0,
Midnight Dancers,0.0,,,,0,
Somebody to Love,0.0,Comedy,Drama,,0,Comedy Drama
A Very Natural Thing,0.0,Drama,,,0,Drama
The Old Lady Who Walked in the Sea,0.0,Comedy,,,0,Comedy
Daylight,80.0,Action,Adventure,Thriller,-1,Action Adventure Thriller
The Frighteners,30.0,Horror,Comedy,,-1,Horror Comedy
Lone Star,5.0,Drama,Mystery,Romance,0,Drama Mystery Romance
Harriet the Spy,12.0,Comedy,Drama,Family,0,Comedy Drama Family
Phenomenon,32.0,Drama,Fantasy,Romance,-1,Drama Fantasy Romance
Walking and Talking,0.0,Comedy,Drama,Romance,0,Comedy Drama Romance
She's the One,3.5,Comedy,Romance,,-1,Comedy Romance
A Time to Kill,40.0,Crime,Drama,Thriller,0,Crime Drama Thriller
American Buffalo,0.0,Drama,,,0,Drama
Rendezvous in Paris,0.0,Romance,Comedy,,0,Romance Comedy
Alaska,23.0,Adventure,,,77,Adventure
Fled,25.0,Action,Comedy,Thriller,-1,Action Comedy Thriller
Kazaam,20.0,Fantasy,Comedy,Science,-1,Fantasy Comedy Science
Magic Hunter,0.0,,,,0,
Larger Than Life,30.0,Family,Comedy,,0,Family Comedy
A Boy Called Hate,0.0,,,,0,
Power 98,0.0,Action,Mystery,Thriller,0,Action Mystery Thriller
Two Deaths,0.0,War,Drama,,-1,War Drama
A Very Brady Sequel,0.0,Comedy,,,-1,Comedy
Stefano Quantestorie,0.0,Comedy,,,-1,Comedy
Death in the Garden,0.0,Adventure,Drama,,0,Adventure Drama
Hedd Wyn,0.0,War,Drama,,-1,War Drama
La Collectionneuse,0.0,Drama,Comedy,Romance,15,Drama Comedy Romance
Kaspar Hauser,0.0,Drama,Foreign,,-1,Drama Foreign
Regular Guys,0.0,Comedy,Foreign,,0,Comedy Foreign
Diebinnen,0.0,Drama,,,-1,Drama
The Convent,0.0,Thriller,,,-1,Thriller
The Adventures of Pinocchio,0.0,Animation,Family,Fantasy,0,Animation Family Fantasy
Joe's Apartment,13.0,Fantasy,Comedy,Music,0,Fantasy Comedy Music
The First Wives Club,26.0,Comedy,,,8,Comedy
Stonewall,0.0,Romance,Drama,Comedy,-1,Romance Drama Comedy
Ransom,80.0,Action,Thriller,,-1,Action Thriller
High School High,0.0,Comedy,,,0,Comedy
Phat Beach,0.0,Comedy,,,0,Comedy
Foxfire,0.0,Action,Drama,Thriller,-1,Action Drama Thriller
Chain Reaction,50.0,Action,Drama,Science,-1,Action Drama Science
Matilda,36.0,Comedy,Family,Fantasy,-1,Comedy Family Fantasy
Emma,6.0,Drama,Comedy,Romance,-1,Drama Comedy Romance
The Crow: City of Angels,13.0,Action,Fantasy,Thriller,0,Action Fantasy Thriller
House Arrest,0.0,Comedy,Family,,0,Comedy Family
Eyes Without a Face,0.0,Drama,Horror,Thriller,0,Drama Horror Thriller
Bordello of Blood,15.0,Horror,Comedy,,0,Horror Comedy
Lotto Land,0.0,Drama,,,0,Drama
The Story of Xinghua,0.0,,,,0,
The Day the Sun Turned Cold,0.0,,,,0,
Flirt,0.0,Drama,Romance,,-1,Drama Romance
The Big Squeeze,0.0,Drama,,,0,Drama
The Spitfire Grill,6.0,Comedy,Drama,,-1,Comedy Drama
Escape from L.A.,50.0,Action,Adventure,Science,0,Action Adventure Science
Cyclo,0.0,Crime,Drama,,-1,Crime Drama
Basquiat,2.962051,Drama,History,,-1,Drama History
Tin Cup,45.0,Comedy,Drama,Romance,0,Comedy Drama Romance
Dingo,0.2,Drama,Music,,-1,Drama Music
The Ballad of Narayama,0.0,Drama,,,78,Drama
Every Other Weekend,0.0,Drama,,,0,Drama
Mille bolle blu,0.0,,,,-1,
Crows and Sparrows,0.0,,,,79,
The Godfather,6.0,Drama,Crime,,0,Drama Crime
Maybe... Maybe Not,0.0,Comedy,Drama,,-1,Comedy Drama
Police Story 3: Supercop,0.9,Action,Crime,Thriller,0,Action Crime Thriller
Manny & Lo,0.5,Drama,Comedy,,0,Drama Comedy
Wife,0.0,Drama,,,0,Drama
Small Faces,1.85,,,,0,
Bound,4.5,Crime,Drama,Romance,0,Crime Drama Romance
Carpool,17.0,Comedy,Family,,-1,Comedy Family
Death in Brunswick,0.0,Drama,,,0,Drama
Kansas City,18.0,Thriller,Drama,Music,0,Thriller Drama Music
Gone Fishin',53.0,Comedy,Family,,80,Comedy Family
Lover's Knot,0.0,Romance,Comedy,,0,Romance Comedy
Vive L'Amour,0.0,Drama,,,-1,Drama
Shadow of Angels,0.0,Drama,,,0,Drama
Killer: A Journal of Murder,0.0,Drama,,,0,Drama
Nothing to Lose,0.0,Action,Crime,Drama,-1,Action Crime Drama
Project S,0.0,Action,Adventure,Crime,81,Action Adventure Crime
Girls Town,0.0,Comedy,Drama,,0,Comedy Drama
