title,runtime,release_year
The Saddest Music in the World,100.0,2003
Starship Troopers 2: Hero of the Federation,88.0,2004
The Man Who Copied,123.0,2003
Ju-on: The Grudge 2,95.0,2003
Sex Lives of the Potato Men,82.0,2004
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,68.0,2003
Ong-Bak: The Thai Warrior,105.0,2003
Infernal Affairs II,119.0,2003
The Sea Inside,125.0,2004
Lucky 7,112.0,2003
Spanglish,130.0,2004
Buddy,104.0,2003
Festival Express,90.0,2003
The Chorus,96.0,2004
Saints and Soldiers,90.0,2003
Just Bea,86.0,2004
The Weeping Camel,91.0,2003
The Interpreter,128.0,2005
Open Water,79.0,2004
Romasanta,90.0,2004
Running on Karma,93.0,2003
Touch of Pink,91.0,2004
Infernal Affairs III,118.0,2003
The Memory Of A Killer,123.0,2003
Slasher,85.0,2004
Bobby Jones: Stroke of Genius,120.0,2004
Layer Cake,105.0,2004
Silver City,128.0,2004
The Return,105.0,2003
The Agronomist,90.0,2003
Flight of the Phoenix,113.0,2004
Mean Creek,90.0,2004
The Ring Two,110.0,2005
A Day Without a Mexican,100.0,2004
The Visual Bible: The Gospel of John,125.0,2003
Machuca,121.0,2004
The Corporation,145.0,2003
Game Over: Kasparov and the Machine,90.0,2003
Vibrator,95.0,2003
The Yes Men,80.0,2003
Ae Fond Kiss...,104.0,2004
Bummer,110.0,2003
As It Is in Heaven,132.0,2004
Green Tea,83.0,2003
Lost Boys of Sudan,87.0,2003
She Hate Me,138.0,2004
Azumi,128.0,2003
In My Father's Den,126.0,2004
The Football Factory,91.0,2004
Tae Guk Gi: The Brotherhood of War,140.0,2004
Something the Lord Made,110.0,2004
Metallica: Some Kind of Monster,141.0,2004
Going the Distance,93.0,2004
Redemption: The Stan Tookie Williams Story,95.0,2004
Schultze Gets the Blues,114.0,2003
Born into Brothels,85.0,2004
Dig!,107.0,2004
The Girl from Monday,84.0,2005
Riding Giants,105.0,2004
Dear Pillow,84.0,2004
Word Wars,80.0,2004
Cruel Intentions 3,85.0,2004
When Will I Be Loved,81.0,2004
11:11,0.0,2004
Muxmäuschenstill,90.0,2004
What the #$*! Do We (K)now!?,109.0,2004
The Eye 2,95.0,2004
A Scanner Darkly,100.0,2006
Casshern,141.0,2004
Windstruck,123.0,2004
Howard Zinn: You Can't Be Neutral on a Moving Train,78.0,2004
Outfoxed: Rupert Murdoch's War on Journalism,74.0,2004
"Hijacking Catastrophe: 9/11, Fear & the Selling of American Empire",68.0,2004
Fahrenhype 9/11,80.0,2004
Jerry Seinfeld: I'm Telling You for the Last Time,75.0,1998
Noel,96.0,2004
In Enemy Hands,94.0,2005
Sexual Dependency,104.0,2003
Chimes at Midnight,115.0,1965
Million Dollar Baby,132.0,2004
The Narrow Margin,71.0,1952
Hell Is for Heroes,90.0,1962
Vincent & Theo,138.0,1990
Some Came Running,137.0,1958
Gozu,130.0,2003
"Goodbye, Dragon Inn",82.0,2003
Hotel Rwanda,121.0,2004
The Mahabharata,163.0,1989
Sitcom,80.0,1998
Born to Dance,106.0,1936
Travels with My Aunt,109.0,1972
Blood and Black Lace,88.0,1964
Hellraiser: Inferno,99.0,2000
Charlie and the Chocolate Factory,115.0,2005
Auggie Rose,109.0,2000
The Wrong Box,105.0,1966
3-Iron,88.0,2004
It  Happens Every Spring,87.0,1949
The Life Aquatic with Steve Zissou,119.0,2004
The Aviator,170.0,2004
The Phantom of the Opera,143.0,2004
Beyond the Sea,118.0,2004
The Woodsman,87.0,2004
In Good Company,109.0,2004
Meet the Fockers,115.0,2004
The Assassination of Richard Nixon,95.0,2004
A Love Song for Bobby Long,119.0,2004
The Merchant of Venice,138.0,2004
The River,115.0,1997
Rebels of the Neon God,106.0,1993
Captain Kidd,90.0,1945
Hold That Ghost,86.0,1941
Kamikaze Girls,102.0,2004
Fat Albert,93.0,2004
The Keys to the House,105.0,2004
In the Realms of the Unreal,81.0,2004
White Noise,101.0,2005
Underclassman,95.0,2005
The Upside of Anger,118.0,2005
Bomb the System,93.0,2002
Arrowhead,105.0,1953
The Grateful Dead,132.0,1977
Last Train from Gun Hill,98.0,1959
The Naked Jungle,95.0,1954
Who's the Caboose?,94.0,1997
A Handful of Dust,118.0,1988
The Pickle,103.0,1993
Wetherby,102.0,1985
Little Miss Marker,103.0,1980
Little Miss Marker,80.0,1934
Sweet Liberty,106.0,1986
Ghost River,93.0,2002
It's All True,89.0,1993
The Phantom of the Opera,168.0,1990
I Remember Mama,134.0,1948
The Last Horror Movie,76.0,2004
Testament,90.0,1983
Smooth Talk,92.0,1985
Distant Thunder,114.0,1988
Hell's Angels,127.0,1930
Daddy's Dyin'... Who's Got the Will?,95.0,1990
Jinxed!,103.0,1982
Out Cold,88.0,1989
Heart of America,87.0,2002
A Show of Force,95.0,1990
Son of Godzilla,86.0,1967
Man Trouble,100.0,1992
"The Yakuza Papers, Vol. 1: Battles Without Honor and Humanity",99.0,1973
Führer Ex,105.0,2002
Stander,116.0,2003
Hester Street,90.0,1975
Mikey and Nicky,119.0,1976
The Bigamist,80.0,1953
Freedomfighters,125.0,1996
Imaginary Heroes,111.0,2004
Sergeant York,134.0,1941
Ruby & Quentin,85.0,2003
Deathwatch,94.0,2002
Madame Rosa,105.0,1977
Day of the Wacko,93.0,2002
Wizards,80.0,1977
For Love and Gold,120.0,1966
Heartlands,0.0,2002
Abbott and Costello Meet the Invisible Man,82.0,1951
Abbott and Costello Go to Mars,77.0,1953
"Abbott and Costello Meet the Killer, Boris Karloff",84.0,1949
The Life and Death of Peter Sellers,122.0,2004
The Badge,99.0,2002
Appleseed,101.0,2004
The Milky Way,98.0,1969
Pippi in the South Seas,86.0,1970
Pippi on the Run,94.0,1970
Puddle Cruiser,102.0,1996
The Stickup,0.0,2002
Elektra,97.0,2005
Racing Stripes,102.0,2005
Coach Carter,136.0,2005
The Fighting Sullivans,112.0,1944
Iceman,100.0,1984
Ice Station Zebra,148.0,1968
Lugares comunes,110.0,2002
Boys Town,96.0,1938
Torremolinos 73,87.0,2003
Zhou Yu's Train,97.0,2002
Shivers,87.0,1975
A Star Is Born,139.0,1976
Beastmaster 2: Through the Portal of Time,107.0,1991
Gold Diggers of 1935,98.0,1935
Rocco and His Brothers,178.0,1960
Strawberries in the Supermarket,90.0,2003
The Mortal Storm,100.0,1940
Once Upon a Honeymoon,117.0,1942
Monday Morning,120.0,2002
Christmas in July,67.0,1940
I Married a Witch,77.0,1942
The Mayor of Hell,90.0,1933
The Miracle Woman,90.0,1931
Moolaadé,124.0,2004
This Girl's Life,104.0,2004
Memories of Murder,129.0,2003
The Chase,89.0,1994
Hobson's Choice,107.0,1954
Dr. Who and the Daleks,82.0,1965
Summer Storm,98.0,2004
Downfall,156.0,2004
The White Sound,107.0,2001
Assault on Precinct 13,109.0,2005
Are We There Yet?,95.0,2005
Alone in the Dark,96.0,2005
Hide and Seek,101.0,2005
Aliens of the Deep,47.0,2005
Boogeyman,89.0,2005
The Wedding Date,88.0,2005
Inside I'm Dancing,104.0,2004
Nobody Knows,141.0,2004
Employee of the Month,97.0,2004
Magic in the Water,98.0,1995
The Great White Hope,103.0,1970
A Study in Terror,95.0,1965
Everything about Mustafa,0.0,2004
The Professionals,117.0,1966
The Devil and Miss Jones,92.0,1941
Alice in Wonderland,150.0,1999
Everyday People,0.0,2004
Backflash,90.0,2002
Salem's Lot,184.0,1979
The Marriage of Maria Braun,116.0,1979
The Bitter Tears of Petra von Kant,124.0,1972
Beau Geste,112.0,1939
At Sword's Point,81.0,1952
Overnight,82.0,2003
Le Trou,132.0,1960
Lessons of Darkness,54.0,1992
Fata Morgana,79.0,1971
Double Dragon,89.0,1994
Mac and Me,95.0,1988
Scorchers,88.0,1991
Rosenstrasse,136.0,2003
Casque d'Or,96.0,1952
Touchez Pas au Grisbi,94.0,1954
The Matchmaker,103.0,1958
The Ballad of the Sad Cafe,101.0,1991
The Deceivers,102.0,1988
Siberia,91.0,1998
Purple Butterfly,127.0,2003
Easy,99.0,2003
El Cid,182.0,1961
Going All the Way,110.0,1997
A Taxing Woman,127.0,1987
The Bunker,95.0,2001
A Fine Madness,107.0,1966
Reap the Wild Wind,123.0,1942
2009: Lost Memories,136.0,2002
The Architecture of Doom,119.0,1989
Inferno,83.0,1953
Howl's Moving Castle,119.0,2004
Steamboy,126.0,2004
Gorgeous,121.0,1999
The Blade,101.0,1995
Assisted Living,78.0,2005
The Nomi Song,98.0,2004
Hitch,118.0,2005
Pooh's Heffalump Movie,68.0,2005
Inside Deep Throat,92.0,2005
Uncle Nino,104.0,2003
Bride & Prejudice,111.0,2004
Constantine,121.0,2005
Son of the Mask,94.0,2005
Because of Winn-Dixie,106.0,2005
Turtles Can Fly,98.0,2005
Beautiful Boxer,117.0,2004
Pauly Shore Is Dead,82.0,2003
Bunny Lake Is Missing,107.0,1965
Jeremy,84.0,1973
Don't Tell Her It's Me,101.0,1990
Until September,95.0,1984
Night and the City,101.0,1950
Frozen Land,127.0,2005
Big Girls Don't Cry,87.0,2002
White Banners,92.0,1938
Night Watch,114.0,2004
Dot the I,92.0,2003
Sister Helen,90.0,2002
Bright Leaves,107.0,2004
Topper Returns,88.0,1941
Sons of the Desert,68.0,1933
Morocco,92.0,1930
Surplus: Terrorized Into Being Consumers,54.0,2003
Man of the House,100.0,2005
Samson and Delilah,128.0,1949
Kung Fu Hustle,99.0,2004
Shark Skin Man and Peach Hip Girl,108.0,1998
The Five People You Meet In Heaven,180.0,2004
"No Retreat, No Surrender",85.0,1986
The ChubbChubbs!,5.0,2002
Travellers and Magicians,108.0,2003
Želary,150.0,2003
Dragonworld,86.0,1994
Dr. Giggles,95.0,1992
The Corn Is Green,115.0,1945
The Seven-Per-Cent Solution,113.0,1976
The Three Musketeers,105.0,1973
Royal Flash,102.0,1975
Masculin Féminin,110.0,1966
Fallen Angel,98.0,1945
The Four Feathers,129.0,1939
The Phone Box,35.0,1972
Night of the Demon,95.0,1957
Control,105.0,2003
Beautiful City,101.0,2005
Five Times Two,90.0,2004
Tart,94.0,2001
Bed and Board,100.0,1970
Germany Year Zero,70.0,1948
Tombs of the Blind Dead,101.0,1972
The Sicilian Clan,125.0,1969
Love Me Tonight,104.0,1932
A Hole in My Heart,98.0,2004
Bigger Than the Sky,106.0,2005
Diary of a Mad Black Woman,116.0,2005
Cursed,97.0,2005
Up and Down,108.0,2004
Gory Gory Hallelujah,0.0,2003
The Pacifier,95.0,2005
Be Cool,118.0,2005
Gunner Palace,85.0,2004
Walk on Water,103.0,2004
Hostage,113.0,2005
Robots,91.0,2005
The Laughing Policeman,112.0,1973
Bopha!,120.0,1993
Class Action,105.0,1991
The Cat and the Canary,82.0,1927
Courage Mountain,98.0,1990
Kiss The Bride,89.0,2002
Godzilla vs. The Sea Monster,87.0,1966
Godzilla vs. Mechagodzilla II,108.0,1993
That Championship Season,110.0,1982
Crush,92.0,1992
DNA,105.0,1997
The Low Life,96.0,1995
Rendez-vous,82.0,1985
"Oh, God! You Devil",97.0,1984
Amongst Friends,88.0,1993
Asfalto,0.0,2000
God Is Brazilian,110.0,2003
Captains of April,123.0,2000
Blackball,96.0,2003
The Agony and the Ecstasy,138.0,1965
Return to Peyton Place,123.0,1961
Butch and Sundance: The Early Days,115.0,1979
It Happened to Jane,97.0,1959
Once Upon a Forest,71.0,1993
Hello Down There,88.0,1969
All in a Night's Work,94.0,1961
Twentieth Century,91.0,1934
My Sister Eileen,108.0,1955
Strangers When We Meet,117.0,1960
Or (My Treasure),95.0,2004
Chronicles,108.0,2004
Lackawanna Blues,95.0,2005
The Green Berets,142.0,1968
Elevator to the Gallows,88.0,1958
The Diary of a Chambermaid,91.0,1946
Violent Cop,103.0,1989
Four Shades of Brown,192.0,2004
Brian's Song,73.0,1971
Thriller: A Cruel Picture,104.0,1973
Cube Zero,97.0,2004
Into the Sun,97.0,2005
Project Grizzly,72.0,1997
Lumikuningatar,0.0,1986
Julia,117.0,1977
Save the Green Planet!,118.0,2003
Stealing Rembrandt,109.0,2003
A Snake of June,77.0,2002
Thirty Seconds Over Tokyo,138.0,1944
Vares: Private Eye,95.0,2004
Girl Crazy,99.0,1943
The 3 Penny Opera,112.0,1931
The Boys from County Clare,91.0,2003
Ice Princess,98.0,2005
Melinda and Melinda,100.0,2004
Milk and Honey,90.0,2003
Miss Congeniality 2: Armed and Fabulous,115.0,2005
Guess Who,105.0,2005
D.E.B.S.,91.0,2004
A League of Ordinary Gentlemen,93.0,2004
Incident at Loch Ness,94.0,2004
The River,99.0,1951
Virginia's Run,103.0,2002
Yanks,138.0,1979
Paradise Alley,107.0,1978
The Seagull's Laughter,102.0,2001
Wild Horses,122.0,1995
Woman Thou Art Loosed,94.0,2004
Arrowsmith,108.0,1931
Barbary Coast,91.0,1935
Stella Dallas,106.0,1937
Free Radicals,120.0,2003
The Unfaithful,109.0,1947
Come and Get It,99.0,1936
Panic in the Streets,96.0,1950
Call Northside 777,111.0,1948
Young Törless,87.0,1966
Bells Are Ringing,126.0,1960
Finian's Rainbow,141.0,1968
The Toolbox Murders,93.0,1978
The Sword of Doom,120.0,1966
Deep Crimson,111.0,1996
800 Bullets,124.0,2002
Matango: Attack of the Mushroom People,89.0,1963
Ebola Syndrome,98.0,1996
The Music of Chance,98.0,1993
Tammy and the T-Rex,82.0,1994
Mixed Blood,98.0,1984
If Looks Could Kill,88.0,1991
Greedy,113.0,1994
Carmen,102.0,1983
My Neighbors the Yamadas,104.0,1999
Pom Poko,119.0,1994
Knockin' on Heaven's Door,87.0,1997
City of Hope,129.0,1991
We're No Angels,106.0,1955
Sons and Lovers,103.0,1960
The Arrow,180.0,1997
Ruggles of Red Gap,90.0,1935
Greetings,88.0,1968
End of the Century: The Story of The Ramones,110.0,2003
Love Letter,117.0,1995
Natural City,114.0,2003
This Sporting Life,134.0,1963
A Touch of Zen,200.0,1971
Walker,94.0,1987
Zu: Warriors from the Magic Mountain,95.0,1983
Whistle Down the Wind,99.0,1961
The Earrings of Madame de...,105.0,1953
No One Writes to the Colonel,118.0,1999
Speedy,86.0,1928
Memories,113.0,1995
Invasion of Astro-Monster,96.0,1965
Harvie Krumpet,23.0,2003
Intimate Affairs,108.0,2002
The Wild Parrots of Telegraph Hill,83.0,2003
The Ballad of Jack and Rose,111.0,2005
Sin City,124.0,2005
Beauty Shop,105.0,2005
Look at Me,110.0,2004
Dust to Glory,97.0,2005
Sahara,124.0,2005
Fever Pitch,103.0,2005
Winter Solstice,90.0,2004
Smile,107.0,2005
Eye of the Tiger,92.0,1986
Not on the Lips,115.0,2003
"Krakatoa, East of Java",131.0,1969
Rhinestone,111.0,1984
Electra Glide in Blue,114.0,1973
Bring on the Night,97.0,1985
A Special Day,110.0,1977
This Land Is Mine,103.0,1943
The Foul King,116.0,2000
The Man Who Planted Trees,30.0,1987
Tanguy,108.0,2001
National Lampoon's Gold Diggers,90.0,2003
Blind Horizon,99.0,2003
Islands in the Stream,104.0,1977
Go for Broke!,92.0,1951
The Blood on Satan's Claw,93.0,1971
"Reuben, Reuben",101.0,1983
TNT Jackson,72.0,1974
Why Has Bodhi-Dharma Left for the East?,137.0,1989
Blue,79.0,1993
Bilitis,95.0,1977
Burn!,112.0,1969
Battle of the Bulge,167.0,1965
Ghosts... of the Civil Dead,93.0,1989
The Little Girl Who Lives Down the Lane,91.0,1976
Arabian Nights,130.0,1974
Age of Consent,108.0,1969
Oedipus Rex,104.0,1967
Ringu 0,99.0,2000
Brothers,117.0,2004
"Dearest Relatives, Poisonous Relations",105.0,1992
Major Barbara,131.0,1941
Steppenwolf,107.0,1974
Hawaii,189.0,1966
Pretty Maids All in a Row,91.0,1971
Loners,103.0,2000
Red Desert,120.0,1964
Satan's Brew,113.0,1976
Mädchen in Uniform,88.0,1931
Diary of a Lost Girl,104.0,1929
Sexmission,117.0,1984
44 Minutes: The North Hollywood Shoot-Out,103.0,2003
Macbeth,107.0,1948
Garage Olimpo,98.0,1999
Vincent,6.0,1982
Waterloo Bridge,108.0,1940
Hôtel Terminus: The Life and Times of Klaus Barbie,267.0,1988
The Sorrow and the Pity,251.0,1969
First Desires,93.0,1983
With Six You Get Eggroll,95.0,1968
"Move Over, Darling",103.0,1963
Love Me or Leave Me,122.0,1955
Jour de Fête,76.0,1949
The Big Store,83.0,1941
Mother Küsters Goes to Heaven,108.0,1975
Ivan's Childhood,95.0,1962
A Trip to the Moon,14.0,1902
Whisky,99.0,2004
The Ascent,111.0,1977
Carrie,132.0,2002
Boccaccio '70,208.0,1962
Frankenfish,84.0,2004
Who's Your Daddy?,105.0,2004
Control,98.0,2004
Category 6: Day of Destruction,175.0,2004
Trespassing,88.0,2004
A Self-Made Hero,107.0,1996
Life Is Sweet,103.0,1990
Ride the Pink Horse,101.0,1947
The Chant of Jimmie Blacksmith,113.0,1978
Double Suicide,104.0,1969
Boy,105.0,1969
Let Him Have It,115.0,1991
Guelwaar,115.0,1993
Dr. Akagi,128.0,1998
Black Rain,123.0,1989
Alexandra's Project,103.0,2003
Clean,111.0,2004
The Delicate Art of Parking,86.0,2003
Wilson,154.0,1944
Blossoms in the Dust,99.0,1941
The Hitchhiker's Guide to the Galaxy,109.0,2005
King's Game,107.0,2004
Barefoot,110.0,2005
Dark Habits,114.0,1983
Snake and Crane Arts of Shaolin,96.0,1978
The Eiger Sanction,123.0,1975
It Started in Naples,100.0,1960
Skin Game,102.0,1971
F for Fake,89.0,1973
Love Comes Softly,88.0,2003
The Amityville Horror,90.0,2005
Mutant Aliens,81.0,2002
Acts of Worship,94.0,2001
Ike: Countdown to D-Day,89.0,2004
Cry of the Banshee,91.0,1970
Phantom Lady,87.0,1944
Act of Violence,82.0,1949
Rouge,96.0,1987
Miracle in Milan,100.0,1951
Before the Fall,117.0,2004
The Frisco Kid,114.0,1979
Onmyoji: The Yin Yang Master,112.0,2001
State Property 2,94.0,2005
The Year of the Yao,88.0,2004
House of D,97.0,2005
Palindromes,100.0,2004
Down and Derby,90.0,2005
A Wake in Providence,94.0,1999
A Lot Like Love,107.0,2005
King's Ransom,95.0,2005
The Game of Their Lives,101.0,2005
Madison,99.0,2001
Enron: The Smartest Guys in the Room,110.0,2005
xXx: State of the Union,101.0,2005
Death of a Dynasty,92.0,2005
Kingdom of Heaven,144.0,2005
House of Wax,113.0,2005
Crash,112.0,2004
Jiminy Glick in Lalawood,90.0,2004
Mysterious Skin,105.0,2004
Mischief,93.0,1985
Jubal,100.0,1956
Viva Maria!,120.0,1965
Between Your Legs,115.0,1999
Zatôichi Meets the One-Armed Swordsman,94.0,1971
The Angry Silence,95.0,1960
Isadora,131.0,1968
San Francisco,115.0,1936
Earth,75.0,1930
Él,92.0,1953
La Chienne,91.0,1931
Eréndira,103.0,1983
The Private Lives of Elizabeth and Essex,106.0,1939
The Search,104.0,1948
Satantango,450.0,1994
On Borrowed Time,99.0,1939
The Taste of Tea,143.0,2004
Kes,110.0,1969
The Human Comedy,117.0,1943
Vampire Hunter D,80.0,1985
Buying the Cow,88.0,2002
A Common Thread,89.0,2004
The Cocoanuts,96.0,1929
The Bridge,103.0,1959
In the Time of the Butterflies,95.0,2001
Road House,95.0,1948
Dark Eyes,117.0,1987
Edges of the Lord,95.0,2001
Kids Return,107.0,1996
The Fearless Freaks,100.0,2005
Off the Map,108.0,2003
Unconscious,100.0,2004
The Tesseract,93.0,2003
25 Watts,94.0,2001
The Hiding Place,150.0,1975
The Keys of the Kingdom,137.0,1944
300 Miles to Heaven,0.0,1989
The Adventurer,31.0,1917
Crackerjack,92.0,2002
Solino,120.0,2002
Dear Wendy,105.0,2005
The List of Adrian Messenger,94.0,1963
9 Souls,120.0,2003
Los Angeles Plays Itself,169.0,2003
Unleashed,103.0,2005
The Red Squirrel,114.0,1993
Martin (Hache),123.0,1997
"Ugly, Dirty and Bad",115.0,1976
Leolo,107.0,1992
DuckTales: The Movie - Treasure of the Lost Lamp,74.0,1990
Babes in Arms,93.0,1939
Samaritan Girl,95.0,2004
Star Wars: Episode III - Revenge of the Sith,140.0,2005
Kicking & Screaming,95.0,2005
Monster-in-Law,101.0,2005
Agatha,105.0,1979
Death Takes a Holiday,79.0,1934
Vodka Lemon,87.0,2003
Deep Blue,83.0,2003
The Invisible Woman,72.0,1940
The Snow Walker,103.0,2003
Divorce Italian Style,105.0,1961
Carefree,83.0,1938
Shaolin Drunkard,92.0,1983
China Strike Force,92.0,2000
Dawg,83.0,2002
9 Songs,66.0,2004
The Uninvited,99.0,1944
Bad Guy,100.0,2002
Simon,102.0,2004
December 7th,75.0,1943
Bataan,114.0,1943
Madagascar,86.0,2005
Somersault,105.0,2004
11 Harrowhouse,94.0,1974
Airborne,91.0,1993
Mad Hot Ballroom,105.0,2005
Tell Them Who You Are,95.0,2004
Dominion: Prequel to the Exorcist,117.0,2005
The Longest Yard,113.0,2005
Saving Face,91.0,2004
Most Wanted,99.0,1997
Cinderella Man,144.0,2005
The Sisterhood of the Traveling Pants,119.0,2005
Lords of Dogtown,107.0,2005
After You,110.0,2003
Rock School,93.0,2005
Mr. & Mrs. Smith,120.0,2005
The Adventures of Sharkboy and Lavagirl,92.0,2005
High Tension,91.0,2003
The Honeymooners,90.0,2005
Parineeta,131.0,2005
Toto the Hero,91.0,1991
Ladies in Lavender,104.0,2004
It's All Gone Pete Tong,90.0,2004
Daybreak,91.0,1993
When Trumpets Fade,95.0,1998
Innocent Voices,120.0,2004
Godzilla vs. Biollante,105.0,1989
Anna and the King of Siam,128.0,1946
Dirty Filthy Love,93.0,2005
Good Neighbor Sam,130.0,1964
Eddie Izzard: Dress to Kill,114.0,1999
Quo Vadis,171.0,1951
The Captain's Paradise,94.0,1953
Batman Begins,140.0,2005
Aragami,76.0,2003
Godzilla: Final Wars,125.0,2004
Kings and Queen,150.0,2004
The Perfect Man,100.0,2005
My Summer of Love,86.0,2004
Heights,93.0,2005
The Deal,107.0,2005
The Bridge of San Luis Rey,120.0,2004
Saint Ralph,95.0,2004
Herbie Fully Loaded,101.0,2005
Yes,100.0,2005
Land of the Dead,93.0,2005
Bewitched,102.0,2005
Rize,86.0,2005
Exiles,104.0,2004
Home Movie,66.0,2001
Becky Sharp,84.0,1935
Danger: Diabolik,100.0,1968
The Trail of the Lonesome Pine,102.0,1936
Me and You and Everyone We Know,90.0,2005
Ferpect Crime,105.0,2004
Three… Extremes,125.0,2004
Happily Ever After,100.0,2004
Satan's Little Helper,100.0,2004
The Edukators,127.0,2004
Somebody Up There Likes Me,113.0,1956
An Unmarried Woman,124.0,1978
The Racket,88.0,1951
The Member of the Wedding,93.0,1952
Coronado,84.0,2003
Retrograde,93.0,2004
Trekkies 2,93.0,2004
Man with the Screaming Brain,90.0,2005
Ulzana's Raid,103.0,1972
Rabbit Test,84.0,1978
The New Land,204.0,1972
The Adventures of Mark Twain,130.0,1944
Bordertown,90.0,1935
Cop and ½,97.0,1993
Equinox,110.0,1992
Father's Little Dividend,82.0,1951
For Pete's Sake,90.0,1974
Twenty Bucks,91.0,1993
Do Not Disturb,94.0,1999
Deceived,104.0,1991
Room Service,78.0,1938
Desert Saints,88.0,2002
Caterina in the Big City,105.0,2003
My Friends,140.0,1975
At the Circus,87.0,1939
The Outfit,103.0,1973
Modigliani,128.0,2004
Broadway Melody of 1940,102.0,1940
The I Inside,90.0,2004
War of the Worlds,116.0,2005
My Brilliant Career,100.0,1979
Godzilla vs. Hedorah,87.0,1971
Gambit,109.0,1966
Billion Dollar Brain,111.0,1967
March of the Penguins,80.0,2005
Right Now,95.0,2004
Julian Po,84.0,1997
The God Who Wasn't There,62.0,2005
Black Belt Jones,87.0,1974
Rebound,103.0,2005
Bonjour Monsieur Shlomi,94.0,2003
The Inner Circle,137.0,1991
Dark Water,105.0,2005
The Beat That My Heart Skipped,107.0,2005
Fantastic Four,106.0,2005
Murderball,88.0,2005
Saraband,120.0,2003
Julie Johnson,93.0,2001
Wedding Crashers,119.0,2005
Happy Endings,128.0,2005
C.H.O.M.P.S.,89.0,1979
The Hindenburg,125.0,1975
Staying Together,91.0,1989
Twin Sitters,93.0,1994
Conflict,86.0,1945
Russian Dolls,129.0,2005
The Crippled Masters,90.0,1979
General Della Rovere,132.0,1959
Rick,100.0,2003
No Blade of Grass,96.0,1970
A Time to Love and a Time to Die,132.0,1958
The Big Sky,140.0,1952
Fighter In The Wind,120.0,2004
Pornography,113.0,2003
Symmetry,99.0,2003
Karol: A Man Who Became Pope,155.0,2005
Family Resemblances,110.0,1996
Hustle & Flow,116.0,2005
Hardware,93.0,1990
The Appaloosa,98.0,1966
Journey Into Fear,68.0,1943
The Calcium Kid,89.0,2004
Funny Ha Ha,85.0,2002
The Island,136.0,2005
Bad News Bears,113.0,2005
The Devil's Rejects,107.0,2005
Last Days,96.0,2005
November,104.0,2003
Sky High,100.0,2005
Stealth,121.0,2005
Must Love Dogs,98.0,2005
The Aristocrats,89.0,2005
Twice in a Lifetime,111.0,1985
Georgy Girl,99.0,1966
This Is My Life,105.0,1992
The Music Lovers,123.0,1970
Kiss and Make-Up,78.0,1934
Killer Condom,107.0,1996
A Touch of Spice,108.0,2003
Dust Devil,103.0,1992
Phone,100.0,2002
The Order,89.0,2001
Serenity,119.0,2005
The End of Suburbia: Oil Depletion and the Collapse of the American Dream,78.0,2004
Let's Get Lost,120.0,1988
The Talent Given Us,98.0,2004
Sholay,204.0,1975
Broken Flowers,105.0,2005
Mr. Canton and Lady Rose,127.0,1989
Christmas in August,97.0,1998
Hum Dil De Chuke Sanam,188.0,1999
Baby Face,71.0,1933
The Star,89.0,1952
The Browning Version,90.0,1951
Fourteen Hours,92.0,1951
The Heart is Deceitful Above All Things,98.0,2004
Whispering Corridors,105.0,1998
Man-Thing,97.0,2005
Berserk,96.0,1967
The Dukes of Hazzard,104.0,2005
The Chumscrubber,108.0,2005
Secuestro Express,86.0,2005
Junebug,106.0,2005
Deuce Bigalow: European Gigolo,83.0,2005
The Skeleton Key,104.0,2005
Four Brothers,109.0,2005
The Great Raid,132.0,2005
Asylum,99.0,2005
Pretty Persuasion,105.0,2005
Grizzly Man,103.0,2005
The Tree of Wooden Clogs,186.0,1978
The Girl in the Café,94.0,2005
The 24th Day,96.0,2004
Prime Cut,88.0,1972
The Best of Everything,121.0,1959
Summer Magic,110.0,1963
The Three Stooges Meet Hercules,89.0,1962
Race with the Devil,88.0,1975
Acacia,102.0,2003
Mermaid Chronicles Part 1: She Creature,91.0,2001
Attila,177.0,2001
Un Flic,98.0,1972
One Point O,92.0,2004
My Date with Drew,90.0,2005
Private Resort,82.0,1985
Pusher II: With Blood on My Hands,100.0,2004
A Woman Rebels,88.0,1936
Duma,100.0,2005
Bitter Victory,82.0,1957
Lila Says,89.0,2004
Doomed to Die,68.0,1940
Animal Farm,72.0,1954
Winter Soldier,96.0,1972
The Third Wheel,87.0,2002
The Sea,109.0,2002
Teen Witch,94.0,1989
The Last of Mrs. Cheyney,98.0,1937
Homesick,85.0,2005
Cast a Deadly Spell,96.0,1991
Movie Movie,105.0,1978
The Teahouse of the August Moon,123.0,1956
Do Fish Do It?,103.0,2002
Black,122.0,2005
The 40 Year Old Virgin,116.0,2005
Who Killed Bambi?,126.0,2003
Contraband,92.0,1940
The Toolbox Murders,95.0,2004
Red Eye,85.0,2005
Lightning Bug,0.0,2004
Man of the West,100.0,1958
Main Hoon Na,175.0,2004
Dilwale Dulhania Le Jayenge,190.0,1995
Dreamchild,94.0,1985
Miss Sweden,92.0,2004
My Cousin Rachel,98.0,1952
Caché,117.0,2005
Nobody Will Speak of Us When We're Dead,104.0,1995
Asterix & Obelix Take on Caesar,109.0,1999
The Key,134.0,1958
Strings,88.0,2004
Kin-dza-dza!,135.0,1986
Comrades: Almost a Love Story,118.0,1996
Supercross,80.0,2005
Valiant,76.0,2005
